V,Nb,Ti,Mo,Ta,Hf,Cr,Zr,W,Re,Liquidus temperature,Solidus temperature
0.09428,0.09257,0.08906,0.09123,0.11355,0.04622,0.06288,0.1338,0.10835,0.16806,2640.30147,1979.61105
0.10792,0.08671,0.07227,0.0852,0.13957,0.00489,0.05632,0.15259,0.11397,0.18056,2724.82313,2031.30815
0.11474,0.0974,0.11391,0.07358,0.07999,0.15793,0.1176,0.10669,0.07123,0.06693,2310.08869,1806.06696
0.11372,0.12646,0.11327,0.14215,0.08201,0.18054,0.13014,0.05195,0.05967,0.0001,2326.15524,1824.21973
0.10755,0.0936,0.11038,0.07748,0.08259,0.13829,0.10616,0.11347,0.08006,0.09042,2370.56099,1842.12861
0.10226,0.08722,0.08229,0.12391,0.11066,0.11211,0.11921,0.02796,0.12535,0.10902,2645.60744,2073.80705
0.09522,0.07934,0.08392,0.09843,0.10763,0.08778,0.09352,0.05103,0.13337,0.16975,2701.99286,2145.63302
0.0001,0.0001,0.43401,0.00774,0.0001,0.34982,0.0001,0.20783,0.0001,0.0001,2015.71457,1976.12052
0.1074,0.11137,0.10015,0.12525,0.10189,0.15154,0.12743,0.04273,0.08915,0.0431,2458.84343,1905.48836
0.0952,0.07923,0.08395,0.09853,0.10744,0.08813,0.09376,0.05081,0.13341,0.16952,2701.365,2145.76924
0.1135,0.09239,0.09874,0.07878,0.10285,0.06635,0.09849,0.17591,0.07677,0.09622,2417.49621,1792.55056
0.12033,0.11522,0.12024,0.08717,0.07687,0.18037,0.12312,0.10035,0.05247,0.02384,2240.28267,1759.81552
0.09896,0.07915,0.08106,0.11504,0.10792,0.10025,0.11089,0.03748,0.13251,0.13676,2677.62728,2112.30127
0.10348,0.10391,0.10469,0.10701,0.09258,0.14426,0.11358,0.06983,0.08855,0.0721,2446.21909,1896.12775
0.10308,0.1581,0.11793,0.12567,0.06792,0.18975,0.14362,0.05783,0.03601,0.0001,2250.40554,1782.32307
0.0001,0.0001,0.9991,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1941.65357,1941.09973
0.10212,0.09854,0.10605,0.09601,0.08858,0.13867,0.10756,0.08206,0.09011,0.0903,2444.29206,1900.524
0.11889,0.09284,0.09152,0.07985,0.11604,0.03498,0.09489,0.20032,0.07503,0.09564,2443.82494,1765.1145
0.10758,0.12029,0.10782,0.12536,0.09697,0.16339,0.13129,0.04931,0.07642,0.02158,2393.99167,1853.80239
0.10917,0.06141,0.38302,0.02663,0.0001,0.19592,0.0001,0.19786,0.02569,0.0001,1935.03654,1825.82037
0.12048,0.12462,0.26595,0.07387,0.0001,0.174,0.08141,0.14445,0.01502,0.0001,2043.73572,1723.21213
0.11241,0.1219,0.10591,0.17609,0.07362,0.17764,0.13798,0.03369,0.06065,0.0001,2351.91185,1878.67944
0.10678,0.09103,0.10316,0.08081,0.09229,0.09833,0.09518,0.14539,0.08272,0.1043,2420.00791,1839.6323
0.02289,0.0154,0.23568,0.02865,0.0001,0.09785,0.04994,0.54929,0.0001,0.0001,1874.20996,1758.378
0.10888,0.112,0.11129,0.10417,0.08941,0.16243,0.11979,0.07664,0.07288,0.04249,2363.69649,1829.53168
0.10545,0.09327,0.07749,0.13887,0.11996,0.11725,0.1284,0.00319,0.12738,0.08874,2668.96753,2095.96325
0.09795,0.07216,0.07689,0.10397,0.11168,0.08666,0.10361,0.03232,0.14402,0.17076,2747.76454,2187.72448
0.00102,0.09803,0.39565,0.11024,0.0001,0.21663,0.0001,0.17804,0.0001,0.0001,2150.90613,1989.17073
0.11139,0.10303,0.11404,0.08188,0.08209,0.15916,0.11229,0.10081,0.07097,0.06434,2330.03588,1816.53227
0.11854,0.09174,0.10908,0.06894,0.08744,0.10834,0.11944,0.16063,0.06692,0.06893,2303.00809,1759.00561
0.09792,0.09471,0.1067,0.08642,0.08652,0.12868,0.09703,0.08876,0.09524,0.11803,2470.93808,1932.88687
0.12666,0.09348,0.11485,0.05946,0.08116,0.12603,0.13699,0.16042,0.05634,0.04462,2213.26993,1720.83247
0.11058,0.38352,0.18782,0.1294,0.03048,0.14461,0.0001,0.0001,0.0133,0.0001,2502.24785,2222.09949
0.09463,0.08692,0.09654,0.09775,0.09339,0.11107,0.09833,0.07114,0.11344,0.13679,2569.54227,2024.02611
0.11112,0.10793,0.11353,0.09181,0.08487,0.16349,0.11586,0.09178,0.06951,0.05011,2333.74552,1813.06997
0.10212,0.09258,0.10647,0.08135,0.08709,0.11782,0.0948,0.11871,0.08754,0.11152,2432.48821,1879.60994
0.11081,0.09057,0.10442,0.07716,0.09121,0.10183,0.10213,0.15017,0.07814,0.09356,2385.65555,1812.9313
0.12743,0.11773,0.12687,0.07737,0.07017,0.19058,0.1422,0.10732,0.04023,0.0001,2148.82424,1717.43737
0.11577,0.09102,0.10571,0.07267,0.09147,0.09692,0.11112,0.16336,0.07151,0.08045,2345.10017,1776.05045
